Breed,Color,Gender,Age,AdoptionLikelihood
Border Collie/Australian Cattle Dog,Brown/White,Spayed Female,3,0
Boxer Mix,Brown/White,Intact Female,4,0
Labrador Retriever Mix,Brown,Spayed Female,3,1
Pit Bull Mix,Black/White,Intact Male,4,0
Pit Bull Mix,Red/White,Spayed Female,7,1
Pit Bull Mix,Fawn/White,Intact Female,1,0
Miniature Poodle Mix,White,Intact Female,2,0
Labrador Retriever Mix,Red/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Brown/Black,Neutered Male,4,1
Australian Cattle Dog,Black/White,Neutered Male,0,1
Border Terrier Mix,White,Neutered Male,0,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,8,1
Chihuahua Shorthair Mix,Red/White,Intact Male,0,0
Pit Bull Mix,Blue/White,Neutered Male,2,0
Pit Bull Mix,Brown Brindle,Intact Male,14,0
Jack Russell Terrier Mix,Chocolate/White,Neutered Male,9,0
German Shepherd,White,Neutered Male,0,1
Australian Shepherd Mix,Tricolor/White,Intact Female,0,1
Chihuahua Shorthair Mix,Sable/Black,Spayed Female,2,1
Chihuahua Shorthair Mix,Tan,Intact Male,15,1
Chihuahua Shorthair,Black/White,Intact Female,9,0
Border Terrier Mix,Gray/White,Neutered Male,0,1
Boxer/Chinese Sharpei,Brown Brindle/Black,Neutered Male,11,1
Labrador Retriever Mix,Black/White,Spayed Female,2,1
Dachshund Mix,Brown Tiger/Brown,Neutered Male,1,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,1,0
Cairn Terrier Mix,Tan,Spayed Female,0,1
Chihuahua Shorthair Mix,Tan,Neutered Male,9,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Labrador Retriever Mix,Chocolate/White,Neutered Male,2,1
German Shepherd Mix,Black/Tan,Neutered Male,0,1
Australian Cattle Dog Mix,Red/White,Intact Female,0,0
English Bulldog Mix,Blue/White,Unknown,0,0
Bullmastiff Mix,Brown Brindle,Spayed Female,2,1
German Shepherd Mix,Brown,Neutered Male,2,1
Golden Retriever Mix,Red,Neutered Male,0,1
Border Collie Mix,Black/White,Spayed Female,0,1
Golden Retriever Mix,Buff,Neutered Male,10,0
Great Pyrenees/Labrador Retriever,White,Intact Female,0,0
Beagle Mix,Tricolor,Neutered Male,2,0
Labrador Retriever/Great Pyrenees,White/Tan,Intact Female,0,1
Chihuahua Shorthair Mix,Tan,Neutered Male,1,1
Labrador Retriever Mix,Tan/White,Intact Male,0,0
German Shepherd,Black/Brown,Neutered Male,1,1
Pit Bull Mix,Tan,Spayed Female,0,1
Tibetan Spaniel Mix,Red,Neutered Male,9,1
Catahoula Mix,Yellow Brindle,Neutered Male,0,1
American Bulldog Mix,White/Brown,Neutered Male,0,1
Dachshund Mix,Black,Spayed Female,1,1
German Shepherd/Cardigan Welsh Corgi,Tricolor,Intact Male,0,0
Labrador Retriever,Brown Brindle,Spayed Female,1,1
Chihuahua Shorthair,Cream/White,Spayed Female,0,1
American Staffordshire Terrier Mix,Blue/White,Intact Female,2,0
Australian Kelpie Mix,Brown Brindle/Black,Spayed Female,0,0
German Shepherd/Labrador Retriever,Black,Spayed Female,2,1
Belgian Malinois Mix,Tan/White,Spayed Female,0,1
Chihuahua Shorthair Mix,Brown,Spayed Female,8,0
Australian Cattle Dog Mix,Tricolor,Intact Female,0,0
Labrador Retriever/Golden Retriever,Gold/White,Spayed Female,0,1
Pit Bull Mix,White/Brown,Neutered Male,2,1
Border Collie Mix,Gray/White,Neutered Male,0,1
English Bulldog,White/Brown,Neutered Male,5,0
Catahoula Mix,Tricolor,Neutered Male,2,1
Boxer Mix,Brown Brindle/White,Spayed Female,1,1
Pit Bull Mix,Tan/White,Spayed Female,2,1
Dachshund,Black/Tan,Spayed Female,9,0
Pointer Mix,White/Brown Brindle,Spayed Female,2,1
Yorkshire Terrier/Miniature Schnauzer,Black,Neutered Male,3,1
Labrador Retriever Mix,Brown,Intact Male,2,0
Pit Bull Mix,Brown/White,Intact Male,1,0
American Pit Bull Terrier Mix,Tan/White,Spayed Female,0,1
Chihuahua Shorthair Mix,Black/White,Intact Male,0,0
Great Pyrenees/Standard Poodle,White,Neutered Male,3,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,0,1
Cairn Terrier Mix,Tan,Neutered Male,0,1
Pointer/Chihuahua Longhair,Tricolor,Neutered Male,0,1
Australian Shepherd/Great Pyrenees,Black/White,Neutered Male,0,1
German Shepherd Mix,Tan/Black,Neutered Male,2,1
Australian Kelpie Mix,Brown Brindle,Spayed Female,10,1
Labrador Retriever Mix,Black/White,Intact Female,0,0
Carolina Dog,Tan,Spayed Female,0,1
Yorkshire Terrier/Toy Poodle,Black/White,Spayed Female,0,1
Shih Tzu Mix,Buff,Intact Male,1,0
Shih Tzu Mix,Cream,Intact Male,2,0
Staffordshire Mix,Black Brindle/White,Neutered Male,2,1
Chihuahua Shorthair/Dachshund,Black/Tan,Intact Male,6,0
Jack Russell Terrier,Tricolor/Brown,Neutered Male,1,1
Labrador Retriever Mix,Tan/White,Neutered Male,0,1
Beagle Mix,Cream/White,Neutered Male,2,1
German Shepherd Mix,Black/Tan,Spayed Female,0,1
Dalmatian/Labrador Retriever,White,Spayed Female,1,1
Labrador Retriever Mix,Black/White,Neutered Male,1,1
Jack Russell Terrier,White/Tricolor,Neutered Male,2,1
Boxer Mix,White/Tan,Neutered Male,1,1
Dachshund/Chihuahua Shorthair,Tan/White,Spayed Female,0,1
Yorkshire Terrier/Chihuahua Shorthair,Cream,Intact Female,5,0
Dogue De Bordeaux Mix,Brown/White,Spayed Female,4,1
Pit Bull Mix,Blue/White,Neutered Male,2,1
German Shepherd/Catahoula,Black Brindle,Neutered Male,0,1
Dachshund Mix,Red,Spayed Female,3,1
Great Dane Mix,Brown/Tricolor,Intact Male,7,0
Border Collie Mix,Black/White,Neutered Male,1,1
Pit Bull Mix,Blue/White,Spayed Female,1,1
Labrador Retriever Mix,Black,Intact Female,10,0
Miniature Poodle Mix,White,Intact Male,0,0
American Pit Bull Terrier Mix,White/Black,Spayed Female,1,1
Chihuahua Shorthair/Pug,Brown,Spayed Female,5,1
Greyhound Mix,Brown Brindle/White,Neutered Male,0,1
Labrador Retriever/Jack Russell Terrier,Yellow/White,Neutered Male,0,0
Pointer Mix,White/Red Tick,Neutered Male,6,1
Chihuahua Shorthair,Fawn,Intact Male,1,0
Boxer,Tan/White,Neutered Male,2,1
Basset Hound/Pointer,Chocolate/White,Spayed Female,4,0
Schipperke Mix,Black,Spayed Female,7,1
Pit Bull Mix,Blue/White,Spayed Female,0,1
Pit Bull Mix,White/Brown,Spayed Female,6,1
Chihuahua Shorthair Mix,Tan/White,Intact Female,4,0
American Staffordshire Terrier Mix,Red/White,Neutered Male,1,1
German Shepherd/Alaskan Husky,White/Tan,Neutered Male,2,1
Welsh Terrier,Black,Intact Female,0,0
Rat Terrier Mix,Tan/White,Spayed Female,3,1
Chihuahua Shorthair,Red,Intact Female,1,0
Miniature Pinscher,Black/Tan,Spayed Female,1,1
Anatol Shepherd/Great Pyrenees,Cream/Black,Intact Male,0,1
Pomeranian/Chihuahua Shorthair,Buff,Intact Female,2,0
Labrador Retriever/German Shepherd,Black/Tan,Spayed Female,10,0
Labrador Retriever Mix,Brown,Neutered Male,2,0
Labrador Retriever/Blue Lacy,Tricolor,Spayed Female,0,1
Border Collie Mix,Black,Neutered Male,1,1
Miniature Schnauzer Mix,Brown/White,Spayed Female,6,0
Chihuahua Shorthair Mix,White/Black,Neutered Male,1,0
Labrador Retriever Mix,Tan/White,Neutered Male,2,0
Italian Greyhound/Chihuahua Shorthair,Black,Spayed Female,1,1
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Rat Terrier Mix,Black/White,Neutered Male,1,1
Yorkshire Terrier/Norfolk Terrier,Black/Brown,Neutered Male,0,1
American Pit Bull Terrier Mix,Blue/White,Spayed Female,0,1
Dalmatian,White,Neutered Male,0,1
American Staffordshire Terrier Mix,Sable/White,Intact Female,0,0
Chihuahua Shorthair Mix,Tan/White,Spayed Female,1,1
Anatol Shepherd Mix,Tricolor/White,Neutered Male,0,1
Miniature Schnauzer/Miniature Poodle,White/Buff,Neutered Male,0,1
Catahoula/German Shepherd,Brown/White,Intact Female,0,0
Norfolk Terrier,Tan,Neutered Male,0,1
Australian Cattle Dog Mix,Fawn,Intact Female,0,0
Pit Bull Mix,Tan/White,Spayed Female,0,1
Pomeranian Mix,Red/Tan,Spayed Female,1,1
Whippet Mix,Brown/White,Spayed Female,0,1
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Border Collie Mix,Black/White,Neutered Male,0,1
American Pit Bull Terrier Mix,Brown,Neutered Male,2,1
Labrador Retriever Mix,Tan/White,Spayed Female,4,1
Labrador Retriever Mix,Brown/Tan,Neutered Male,0,1
Australian Kelpie Mix,Tan/Black,Neutered Male,0,1
Dalmatian Mix,White/Black,Intact Male,1,0
Pit Bull Mix,Blue/White,Neutered Male,2,1
Pit Bull,Blue/White,Intact Male,1,0
Australian Cattle Dog,Red/White,Neutered Male,1,1
German Shepherd Mix,Black/Tan,Spayed Female,0,1
Chihuahua Shorthair/Dachshund Wirehair,Tan,Neutered Male,1,0
Basset Hound/Beagle,Tricolor,Neutered Male,8,0
Rottweiler/Labrador Retriever,Black/Tan,Spayed Female,7,1
Pit Bull Mix,Blue/White,Neutered Male,1,1
Australian Cattle Dog Mix,White,Spayed Female,0,1
Boxer Mix,Brown Brindle/White,Intact Male,4,0
Pointer Mix,Fawn,Neutered Male,0,0
Border Collie/Pointer,Black/White,Spayed Female,1,1
Dachshund Mix,Brown,Spayed Female,0,1
Dachshund/Rat Terrier,Red/White,Spayed Female,4,1
Border Collie Mix,Black,Spayed Female,0,1
Pug Mix,Black/White,Neutered Male,3,0
Labrador Retriever Mix,Brown,Intact Male,0,0
Chihuahua Shorthair Mix,Black/White,Spayed Female,0,1
Great Pyrenees,White,Neutered Male,7,1
Yorkshire Terrier Mix,Gray/Tan,Spayed Female,1,1
Pug Mix,Fawn,Spayed Female,2,0
Labrador Retriever Mix,Black/White,Intact Male,0,0
Standard Poodle,White,Neutered Male,2,0
Chihuahua Shorthair Mix,Black/Black,Intact Female,0,0
American Staffordshire Terrier Mix,Black/White,Neutered Male,1,1
Chihuahua Shorthair,White/Black,Intact Female,10,0
Pointer Mix,Tricolor,Neutered Male,1,1
Pointer/Chihuahua Longhair,Sable,Neutered Male,0,1
Great Pyrenees Mix,White,Spayed Female,2,0
Labrador Retriever/Australian Cattle Dog,Brown/White,Neutered Male,0,0
Cardigan Welsh Corgi/Labrador Retriever,White/Tan,Spayed Female,8,1
Pit Bull Mix,Black/White,Intact Female,5,0
Harrier Mix,White/Brown,Neutered Male,0,0
Labrador Retriever Mix,Chocolate/White,Neutered Male,0,1
Great Dane,Black/White,Spayed Female,3,0
Doberman Pinsch Mix,Black/Brown,Intact Female,1,0
German Shepherd Mix,Brown,Intact Male,0,0
Cavalier Span,Black/White,Intact Female,0,0
Chihuahua Shorthair Mix,Brown/White,Spayed Female,2,1
German Shepherd,Brown,Intact Male,0,0
German Shepherd Mix,Black/Tan,Spayed Female,0,1
Blue Lacy/Beagle,Blue/White,Spayed Female,3,1
Siberian Husky Mix,Black/White,Neutered Male,1,1
Pit Bull Mix,Brown/White,Neutered Male,2,1
Dachshund Mix,Black,Spayed Female,3,1
Pbgv Mix,Black,Spayed Female,1,1
Dachshund Mix,White/Red Merle,Neutered Male,0,1
Chihuahua Shorthair,Black/Tan,Spayed Female,1,1
Labrador Retriever/Collie Smooth,Tan/White,Spayed Female,2,1
Pit Bull Mix,Brown Brindle/White,Intact Male,1,0
Chihuahua Shorthair Mix,Tan,Neutered Male,2,1
Staffordshire Mix,Black/White,Neutered Male,0,1
Australian Cattle Dog Mix,Tricolor,Neutered Male,2,1
Standard Poodle Mix,Black/Gray,Neutered Male,0,1
Border Collie Mix,White/Gray,Neutered Male,6,1
Belgian Malinois Mix,Brown/Black,Neutered Male,1,1
Labrador Retriever Mix,White/Black,Neutered Male,0,1
Bernese Mountain Dog Mix,Black/Brown,Neutered Male,0,1
German Shepherd Mix,Red/Black,Intact Male,8,0
Pointer Mix,Chocolate/White,Spayed Female,1,1
Pointer Mix,Black/White,Neutered Male,0,1
Miniature Poodle Mix,Cream,Neutered Male,1,0
Australian Shepherd Mix,Tricolor,Spayed Female,0,1
Staffordshire Mix,Blue/White,Neutered Male,1,1
Pointer/Rat Terrier,White/Brown Brindle,Neutered Male,0,1
Pit Bull Mix,Black,Intact Female,0,0
Chihuahua Shorthair Mix,Red/White,Neutered Male,2,1
Schnauzer Giant Mix,White/Black,Spayed Female,1,1
Labrador Retriever Mix,Black/Brown,Neutered Male,2,1
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Anatol Shepherd Mix,Tan,Neutered Male,0,1
Pit Bull Mix,Brown/Red,Neutered Male,5,1
Labrador Retriever Mix,Tan/White,Neutered Male,4,1
Labrador Retriever/Rottweiler,Black/White,Neutered Male,1,1
Chihuahua Shorthair Mix,Tan/Black,Spayed Female,0,1
German Shepherd,Brown/Black,Intact Male,0,0
Australian Shepherd Mix,White/Black,Spayed Female,0,1
Staffordshire Mix,White/Brown Brindle,Neutered Male,0,1
Shih Tzu Mix,Black/Tan,Intact Female,5,0
Chihuahua Longhair Mix,Chocolate,Spayed Female,6,1
German Shepherd,Brown/White,Spayed Female,0,1
Pit Bull Mix,White/Brown,Neutered Male,8,1
German Shepherd,Brown/Black,Spayed Female,4,1
Labrador Retriever Mix,Brown/White,Neutered Male,3,1
Dachshund Mix,Chocolate,Neutered Male,5,0
Labrador Retriever Mix,Yellow,Spayed Female,12,1
Catahoula Mix,Black/White,Spayed Female,0,1
German Shepherd,Black/Tan,Spayed Female,4,1
Labrador Retriever/Whippet,Buff,Spayed Female,7,1
Chihuahua Shorthair,Black/Brown,Neutered Male,2,1
Mastiff,Tan,Intact Female,3,1
Labrador Retriever Mix,Black/White,Neutered Male,1,0
Australian Cattle Dog Mix,Black/Brown,Neutered Male,0,1
Shih Tzu Mix,White/Black,Intact Male,0,0
Chihuahua Shorthair/Dachshund,Brown,Neutered Male,0,1
Chihuahua Shorthair Mix,Tan,Spayed Female,3,0
Chihuahua Shorthair Mix,Brown,Neutered Male,3,1
Collie Smooth Mix,Tricolor,Spayed Female,0,1
Labrador Retriever/Anatol Shepherd,Brown,Spayed Female,0,1
Chihuahua Shorthair/Jack Russell Terrier,White,Intact Female,0,0
Chihuahua Shorthair Mix,Black/Tan,Intact Male,2,0
Pit Bull Mix,Blue/White,Neutered Male,1,1
Pit Bull Mix,Fawn/White,Neutered Male,1,1
Chihuahua Longhair Mix,Black/Tan,Spayed Female,8,1
Boxer Mix,Tricolor,Neutered Male,8,0
Catahoula Mix,White/Tan,Neutered Male,1,1
Labrador Retriever Mix,Brown/Black,Intact Female,0,0
Dachshund Mix,Brown/White,Neutered Male,6,1
Miniature Pinscher/Chihuahua Shorthair,Black/Tan,Neutered Male,2,1
Staffordshire Mix,Fawn/White,Spayed Female,0,1
Labrador Retriever Mix,Cream,Neutered Male,0,1
Collie Rough Mix,Tricolor,Spayed Female,0,1
Chihuahua Shorthair,Tan,Spayed Female,1,1
Jack Russell Terrier,Black/White,Spayed Female,0,1
Canaan Dog/Labrador Retriever,White,Neutered Male,2,1
Border Collie Mix,White/Brown,Spayed Female,2,1
Pit Bull Mix,Brown/White,Unknown,0,0
Labrador Retriever Mix,Tan,Neutered Male,0,1
Pit Bull Mix,Black/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Black,Spayed Female,0,1
Border Collie Mix,Black/White,Spayed Female,0,1
German Shepherd,Brown/Black,Spayed Female,0,1
Pit Bull Mix,Blue/White,Spayed Female,2,0
German Shepherd Mix,Black Brindle/Brown,Neutered Male,1,1
Anatol Shepherd Mix,White/Brown,Spayed Female,0,1
Pit Bull Mix,Black/White,Spayed Female,0,1
Basenji/Pit Bull,Tan/White,Neutered Male,2,1
Bichon Frise/Toy Poodle,White,Spayed Female,12,1
Australian Cattle Dog Mix,White/Black,Spayed Female,3,1
Australian Shepherd Mix,Gray/Blue Merle,Intact Female,0,0
Pbgv Mix,White/Brown,Spayed Female,1,1
Shih Tzu Mix,White/Tan,Intact Male,0,0
Labrador Retriever Mix,Brown/White,Spayed Female,0,1
Labrador Retriever/Boxer,Brown Brindle/White,Neutered Male,3,0
Labrador Retriever/Pit Bull,Black,Neutered Male,0,1
Pit Bull,White/Brown,Intact Female,2,0
German Shepherd Mix,Black/Cream,Intact Female,0,0
Parson Russell Terrier Mix,White/Tan,Neutered Male,5,1
Labrador Retriever,Red,Spayed Female,0,1
Labrador Retriever/Boxer,Brown,Neutered Male,8,1
Pit Bull,Brown/Fawn,Spayed Female,2,1
Chihuahua Shorthair Mix,Black/White,Neutered Male,6,0
Flat Coat Retriever Mix,Black/White,Spayed Female,5,1
Boxer Mix,Fawn/White,Spayed Female,0,1
Labrador Retriever/Border Collie,Black,Spayed Female,1,1
Labrador Retriever Mix,Black,Spayed Female,8,1
Pit Bull Mix,White/Brown,Neutered Male,1,0
Boxer Mix,Brown Brindle/White,Neutered Male,5,0
Miniature Schnauzer Mix,Brown/Black,Spayed Female,2,1
Border Collie Mix,Black,Spayed Female,6,0
Miniature Pinscher Mix,Brown/Black,Neutered Male,1,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Australian Cattle Dog Mix,Gray/Black,Neutered Male,0,1
Australian Cattle Dog/Anatol Shepherd,Red/White,Neutered Male,1,1
Labrador Retriever/Standard Poodle,White,Spayed Female,1,0
Australian Cattle Dog Mix,Blue Tick,Intact Male,3,0
Miniature Schnauzer Mix,Black,Neutered Male,2,1
German Shepherd Mix,Brown,Neutered Male,0,1
Cairn Terrier Mix,Brown,Neutered Male,1,1
Pit Bull Mix,Brown/White,Neutered Male,7,1
Labrador Retriever Mix,Brown,Neutered Male,0,1
Labrador Retriever Mix,Buff,Spayed Female,0,1
Pit Bull Mix,Tan/White,Spayed Female,0,1
German Shepherd Mix,Red/Tan,Spayed Female,1,1
Dachshund Mix,Brown,Intact Male,2,0
Standard Poodle/Whippet,White,Spayed Female,3,1
Chihuahua Shorthair Mix,Buff,Intact Female,1,0
Plott Hound Mix,Brown Brindle/White,Spayed Female,2,1
Blue Lacy Mix,Blue/White,Neutered Male,1,1
Pit Bull Mix,Tan/White,Neutered Male,2,1
Chihuahua Shorthair/Pug,Tan,Neutered Male,1,1
German Shepherd/Chow Chow,Brown/Black,Intact Male,6,0
